UDI,Product_ID,Type,Air_Temp_K,Process_Temp_K,Rotational_Speed_RPM,Torque_Nm,Tool_Wear_Min,Machine_Failure,TWF,HDF,PWF,OSF,RNF,Temp_Delta,Power_Watts
26,L47205,L,299,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,43361.3
27,L47206,L,299.1,309.5,1512,39,75,0,0,0,0,0,0,10.4,58968
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.3,44550.6
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.3,63603.8
30,L47209,L,299,309.4,1693,30.1,84,0,0,0,0,0,0,10.4,50959.3
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.4,64539.8
32,L47211,L,299,309.4,1798,25.5,89,0,0,0,0,0,0,10.4,45849
33,L47212,L,299,309.4,1419,48.3,91,0,0,0,0,0,0,10.4,68537.7
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.4,54112.5
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.3,54097.3
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.4,70567.2
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.3,58022.7
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.3,56408.8
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.3,69915.3
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.3,70875
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.3,61834.8
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.3,69494.4
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.3,67168.8
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.4,66542
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.3,69920
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.3,73109.9
47,M14906,M,298.7,309,1843,25.8,130,0,0,0,0,0,0,10.3,47549.4
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.3,65653.4
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.4,76807.5
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.3,62269.2
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.2,13160.6
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.2,75926.7
53,H29466,H,298.8,309,1497,43.8,147,0,0,0,0,0,0,10.2,65568.6
54,L47233,L,298.7,309,1565,35.1,152,0,0,0,0,0,0,10.3,54931.5
55,L47234,L,298.7,309,1691,30.1,154,0,0,0,0,0,0,10.3,50899.1
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.3,61538.4
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.3,62624.8
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.3,60973.9
59,M14918,M,298.8,309,1661,29.5,162,0,0,0,0,0,0,10.2,48999.5
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.3,74963.2
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.3,73271.8
62,M14921,M,298.8,309,1592,38.2,169,0,0,0,0,0,0,10.2,60814.4
63,L47242,L,298.8,309,1829,22.9,172,0,0,0,0,0,0,10.2,41884.1
64,M14923,M,298.9,309,1812,25.9,174,0,0,0,0,0,0,10.1,46930.8
65,L47244,L,299,309.1,1523,38.6,177,0,0,0,0,0,0,10.1,58787.8
66,L47245,L,299,309.1,1394,45.1,179,0,0,0,0,0,0,10.1,62869.4
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10,48187.3
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.1,64650.6
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.1,49474.8
70,L47249,L,298.9,309,1410,65.7,191,1,0,0,1,1,0,10.1,92637
71,M14930,M,298.9,309,1924,22.6,193,0,0,0,0,0,0,10.1,43482.4
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.2,66066
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.2,60783.6
74,L47253,L,299,309.1,1592,35,200,0,0,0,0,0,0,10.1,55720
75,L47254,L,298.9,309,1601,32.3,202,0,0,0,0,0,0,10.1,51712.3
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.1,64399.3
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.1,69981.9
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.1,60091.5
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.1,71997
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.1,53135.8
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10,72105.5
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10,68875
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10,59282.4
84,L47263,L,299,309,1469,40.1,13,0,0,0,0,0,0,10,58906.9
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10,67687.2
86,M14945,M,299,309,1804,26.8,17,0,0,0,0,0,0,10,48347.2
87,H29500,H,299,309,1436,43.9,20,0,0,0,0,0,0,10,63040.4
88,L47267,L,299,309,1544,31.8,25,0,0,0,0,0,0,10,49099.2
89,M14948,M,299,309,1419,45.2,27,0,0,0,0,0,0,10,64138.8
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10,58736.5
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10,45227.4
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10,45567
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10,46801.7
94,L47273,L,299.1,309,1450,43,40,0,0,0,0,0,0,9.9,62350
95,L47274,L,299,308.9,1622,31.9,42,0,0,0,0,0,0,9.9,51741.8
96,M14955,M,299,309,1351,52.2,44,0,0,0,0,0,0,10,70522.2
97,M14956,M,299,309,1575,35.3,47,0,0,0,0,0,0,10,55597.5
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10,52325
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.9,49998.3
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10,67621.2
101,L47280,L,298.8,308.9,1852,25,57,0,0,0,0,0,0,10.1,46300
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10,41213.7
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10,63133
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10,58360.5
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.9,62930
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.9,49480.1
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.9,70082.5
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10,70059.6
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.9,53006.7
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.8,53605.2
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.8,42120
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.9,65206.5
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.9,59171
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.8,62263.4
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.8,49392
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.8,65396.7
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.8,53332.4
118,L47297,L,298.8,308.6,1599,33,101,0,0,0,0,0,0,9.8,52767
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.8,47966.7
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.8,59706.9
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.8,64055.1
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.8,64189.6
123,L47302,L,299,308.8,1310,50.7,112,0,0,0,0,0,0,9.8,66417
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.8,67096.4
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.8,50773.8
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.7,50232
127,L47306,L,299,308.6,1329,60.5,120,0,0,0,0,0,0,9.6,80404.5
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.7,65704.5
129,L47308,L,299,308.6,1587,38.6,124,0,0,0,0,0,0,9.6,61258.2
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.6,53473.7
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.6,60540.3
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.6,48114.9
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.7,62251.2
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.7,70928
135,L47314,L,298.8,308.4,1369,53,138,0,0,0,0,0,0,9.6,72557
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.7,48763.5
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.8,64894
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.9,71724.1
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.8,71580.6
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.8,70754.4
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.8,54547.1
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.8,54348.8
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.8,50139.6
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.8,71053.5
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.8,58978.4
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.9,50836.8
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.9,58193.2
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10,60751.5
149,M15008,M,298.3,308.3,1379,48,181,0,0,0,0,0,0,10,66192
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.9,58772.7
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.9,60719.4
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.8,55008.8
153,M15012,M,298.4,308.2,1584,41,191,0,0,0,0,0,0,9.8,64944
154,L47333,L,298.4,308.2,1850,27,194,0,0,0,0,0,0,9.8,49950
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.8,55313.6
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.8,39342.6
157,M15016,M,298.4,308.1,1495,46,203,0,0,0,0,0,0,9.7,68770
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.8,64293
159,M15018,M,298.4,308.2,1499,40,211,0,0,0,0,0,0,9.8,59960
160,L47339,L,298.4,308.2,1471,47,214,0,0,0,0,0,0,9.8,69137
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.8,77817.4
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.8,73847.6
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.8,56303
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.8,64298.4
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.8,62784
166,L47345,L,298.5,308.4,1733,26,8,0,0,0,0,0,0,9.9,45058
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.8,52551.2
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.9,62548.2
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.9,89275.9
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.9,77893.8
171,M15030,M,298.4,308.2,1610,35,24,0,0,0,0,0,0,9.8,56350
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.9,74269.6
173,M15032,M,298.1,308,1924,20.8,29,0,0,0,0,0,0,9.9,40019.2
174,M15033,M,298.2,308,1591,33.7,32,0,0,0,0,0,0,9.8,53616.7
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.9,76139.8
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.9,60117
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.9,56144.6
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10,42543.2
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10,72087.2
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.1,64939.2
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.1,73602.5
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.1,44140.8
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.1,64550.2
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.1,60439.5
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10,51010.2
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10,55237.2
187,L47366,L,298.1,308.3,1301,56,63,0,0,0,0,0,0,10.2,72856
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.2,59434.9
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.2,53961.6
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.1,66792.6
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.2,73702.3
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.2,57643.6
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.2,72416.4
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.2,58058.8
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.3,28654.6
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.2,62333.7
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.3,70884
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.2,62454.3
199,L47378,L,298.4,308.7,1588,35,99,0,0,0,0,0,0,10.3,55580
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.2,67494.3
201,L47380,L,298.4,308.6,1609,35,103,0,0,0,0,0,0,10.2,56315
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.2,64890
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.1,58405.2
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.1,56471
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.1,57104.8
206,M15065,M,298.5,308.6,1344,53,114,0,0,0,0,0,0,10.1,71232
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,10.2,56797.7
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,10.3,86254.7
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,10.2,58389.7
210,L47389,L,298.4,308.6,1477,44,124,0,0,0,0,0,0,10.2,64988
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,10.3,54980.3
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,10.2,53392.5
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,10.3,71097.6
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,10.3,62231.4
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,10.3,58951.9
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,10.3,62384.4
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,10.3,57411.7
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,10.2,52582.4
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,10.3,55130.7
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,10.2,66250.8
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,10.2,74623.2
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,10.1,44396.1
223,L47402,L,298.4,308.6,1304,45,158,0,0,0,0,0,0,10.2,58680
224,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,10.2,53973.6
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,10.3,46411.2
226,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,10.2,73275.6
227,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,10.1,65386.8
228,L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,10.2,55557.9
229,M15088,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,10.2,60435.9
230,L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,10.2,49523.6
231,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,10.3,54636
232,L47411,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,10.1,60684.8
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,10.2,67782.4
234,L47413,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,10.2,52768.8
235,L47414,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,10.2,63406.2
236,M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,10.2,56616
237,L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,10.2,57856.5
238,M15097,M,298,308.1,1552,36.6,190,0,0,0,0,0,0,10.1,56803.2
239,L47418,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,10.2,70067.9
240,L47419,L,298,308.2,1611,30.6,195,0,0,0,0,0,0,10.2,49296.6
241,M15100,M,298,308.1,1339,51.6,197,0,0,0,0,0,0,10.1,69092.4
242,L47421,L,298,308.1,1777,24.3,200,0,0,0,0,0,0,10.1,43181.1
243,L47422,L,298,308.2,1348,58.8,202,1,0,0,0,1,0,10.2,79262.4
244,L47423,L,298,308.2,1442,44.1,204,0,0,0,0,0,0,10.2,63592.2
245,M15104,M,298,308.2,1395,49.1,206,0,0,0,0,0,0,10.2,68494.5
246,M15105,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,10.2,51087.8
247,L47426,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,10.2,53097.5
248,L47427,L,298,308.2,1469,45.5,214,0,0,0,0,0,0,10.2,66839.5
249,L47428,L,298,308.3,1362,56.8,216,1,0,0,0,1,0,10.3,77361.6
250,L47429,L,298,308.3,1405,56.2,218,1,0,0,0,1,0,10.3,78961
251,L47430,L,298,308.3,1662,32.7,0,0,0,0,0,0,0,10.3,54347.4
252,M15111,M,298,308.2,1466,42.6,2,0,0,0,0,0,0,10.2,62451.6
253,L47432,L,298,308.2,1620,35.8,5,0,0,0,0,0,0,10.2,57996
254,L47433,L,298,308.2,1357,48.2,7,0,0,0,0,0,0,10.2,65407.4
255,L47434,L,298,308.2,1514,37.9,9,0,0,0,0,0,0,10.2,57380.6
256,L47435,L,298,308.2,1489,40.4,11,0,0,0,0,0,0,10.2,60155.6
257,L47436,L,298.1,308.3,1331,63,13,0,0,0,0,0,0,10.2,83853
258,L47437,L,298,308,1615,29.5,15,0,0,0,0,0,0,10,47642.5
259,L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,10.1,56167.8
260,M15119,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,10.1,90738
261,M15120,M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,10.1,74730.2
262,L47441,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,10.1,53093.4
263,M15122,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,10.1,46524.8
264,M15123,M,298,308.1,1587,32.3,30,0,0,0,0,0,0,10.1,51260.1
265,L47444,L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,10.1,66025
266,L47445,L,298,308.1,1454,37.1,35,0,0,0,0,0,0,10.1,53943.4
267,H29680,H,298,308.1,1440,43.7,37,0,0,0,0,0,0,10.1,62928
268,L47447,L,297.9,308,1954,21.1,42,0,0,0,0,0,0,10.1,41229.4
269,H29682,H,297.9,308,1800,24.8,44,0,0,0,0,0,0,10.1,44640
270,L47449,L,298,308,1524,37,49,0,0,0,0,0,0,10,56388
271,H29684,H,298,308,1520,39.6,51,0,0,0,0,0,0,10,60192
272,M15131,M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0,10,59241.6
273,L47452,L,298.1,308.1,1484,40.4,59,0,0,0,0,0,0,10,59953.6
274,L47453,L,298.1,308,1426,46,61,0,0,0,0,0,0,9.9,65596
275,L47454,L,298.1,308,1652,28.5,63,0,0,0,0,0,0,9.9,47082
276,L47455,L,298,308,1401,54.7,65,0,0,0,0,0,0,10,76634.7
277,M15136,M,298,307.9,1750,26.6,67,0,0,0,0,0,0,9.9,46550
278,H29691,H,298,308,1479,50.7,70,0,0,0,0,0,0,10,74985.3
279,M15138,M,298,308,1620,29.4,75,0,0,0,0,0,0,10,47628
280,L47459,L,298,308.1,1819,23.4,78,0,0,0,0,0,0,10.1,42564.6
281,M15140,M,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,10,63627.2
282,L47461,L,298.1,308,1626,36.5,83,0,0,0,0,0,0,9.9,59349
283,M15142,M,298.1,308.1,1390,49.8,85,0,0,0,0,0,0,10,69222
284,L47463,L,298.2,308.2,1469,43,88,0,0,0,0,0,0,10,63167
285,L47464,L,298.2,308.3,2051,19.2,90,0,0,0,0,0,0,10.1,39379.2
286,L47465,L,298.2,308.3,1568,36,92,0,0,0,0,0,0,10.1,56448
287,L47466,L,298.2,308.3,1589,33.2,94,0,0,0,0,0,0,10.1,52754.8
288,L47467,L,298.2,308.3,1805,31.6,96,0,0,0,0,0,0,10.1,57038
289,H29702,H,298.2,308.4,1385,42.2,98,0,0,0,0,0,0,10.2,58447
290,L47469,L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0,10.3,67061.2
291,L47470,L,298.1,308.4,1438,45.6,105,0,0,0,0,0,0,10.3,65572.8
292,L47471,L,298,308.3,1473,42.6,107,0,0,0,0,0,0,10.3,62749.8
293,L47472,L,298.1,308.4,1335,40.2,109,0,0,0,0,0,0,10.3,53667
294,H29707,H,298.1,308.5,1392,44.8,111,0,0,0,0,0,0,10.4,62361.6
295,M15154,M,298.1,308.5,1372,51.1,116,0,0,0,0,0,0,10.4,70109.2
296,M15155,M,298.1,308.6,1716,30.7,119,0,0,0,0,0,0,10.5,52681.2
297,L47476,L,298,308.5,1395,46.2,122,0,0,0,0,0,0,10.5,64449
298,L47477,L,298,308.5,1713,25.3,124,0,0,0,0,0,0,10.5,43338.9
299,H29712,H,297.9,308.5,2129,18.7,126,0,0,0,0,0,0,10.6,39812.3
300,M15159,M,297.8,308.3,1567,35.6,131,0,0,0,0,0,0,10.5,55785.2
301,L47480,L,297.8,308.4,1622,38.3,134,0,0,0,0,0,0,10.6,62122.6
302,L47481,L,297.7,308.4,1740,27.1,136,0,0,0,0,0,0,10.7,47154
303,H29716,H,297.8,308.4,1512,35.1,138,0,0,0,0,0,0,10.6,53071.2
304,M15163,M,297.8,308.4,1479,43.5,143,0,0,0,0,0,0,10.6,64336.5
305,L47484,L,297.8,308.4,1737,27.5,146,0,0,0,0,0,0,10.6,47767.5
306,L47485,L,297.8,308.4,2129,19.2,148,0,0,0,0,0,0,10.6,40876.8
307,L47486,L,297.8,308.4,1374,47.1,150,0,0,0,0,0,0,10.6,64715.4
308,M15167,M,297.8,308.4,1579,36.6,152,0,0,0,0,0,0,10.6,57791.4
309,L47488,L,297.9,308.5,1305,47.2,155,0,0,0,0,0,0,10.6,61596
